file,line,function
birth.death_fun.R,2,sim.element.trait
birth.death_fun.R,25,multi.sim.element.trait
birth.death_fun.R,34,sim.link.conditional
birth.death_fun.R,35,select.trait.process
birth.death_fun.R,63,add.trait.value
birth.death_fun.R,92,sim.living.tips
birth.death_fun.R,103,trigger.events
birth.death_fun.R,107,bd.update.single.nodes
birth.death_fun.R,129,bd.update.single.edges
birth.death_fun.R,142,birth.death.tree.traits
birth.death_fun.R,630,get.prefix
birth.death_fun.R,645,add.prefix
birth.death_fun.R,653,update.rownames
birth.death_fun.R,661,update.labels
birth.death_fun.R,805,check.requested
crude.bd.est.R,39,crude.bd.est
dispRitreats.R,64,dispRitreats
dispRitreats.R,188,apply.dispRity
dispRitreats.R,220,merge.disparity
dispRitreats.R,221,merge.subset.pair
dispRitreats.R,235,scale.tree.fun
drop.things.R,51,drop.singles
drop.things.R,76,drop.tips
drop.things.R,109,drop.fossils
drop.things.R,112,drop.livings
drop.things.R,115,drop.things
drop.things.R,127,is.replicates
drop.tip.treats.R,32,drop.tip.treats
drop.tip.treats.R,39,keep.tip.treats
drop.tip.treats.R,46,match.tree.to.data
events.conditions.R,97,events.condition
events.conditions.R,106,age.condition
events.conditions.R,111,taxa.condition
events.conditions.R,120,trait.condition
events.modifications.R,114,events.modification
events.modifications.R,168,random.extinction
events.modifications.R,171,extinction.variable
events.modifications.R,186,trait.extinction
events.modifications.R,189,extinction.trait
events.modifications.R,206,bd.params.update
events.modifications.R,208,change.bd.params
events.modifications.R,224,traits.update
events.modifications.R,226,change.traits
events.modifications.R,238,modifiers.update
events.modifications.R,240,change.modifiers
events.modifications.R,253,founding.event
events.modifications.R,256,founding.fun
link.traits.R,53,link.traits
link.traits.R,118,set.conditional.traits
make.bd.params.R,47,make.bd.params
make.bd.params.R,123,bd_params$speciation
make.bd.params.R,128,bd_params$speciation
make.bd.params.R,134,bd_params$speciation
make.bd.params.R,144,bd_params$extinction
make.bd.params.R,149,bd_params$extinction
make.bd.params.R,155,bd_params$extinction
make.bd.params_fun.R,2,sample.from
make.events.R,84,make.events
make.events_fun.R,2,check.events
make.modifiers.R,75,make.modifiers
make.modifiers.R,81,call.default
make.modifiers.R,117,condition
make.modifiers.R,128,modify
make.modifiers_fun.R,2,check.modifiers
make.traits.R,54,make.traits
make.traits_fun.R,2,check.traits
make.treats.R,29,make.treats
make.treats.R,102,check.tree.make.treats
make.treats.R,114,check.data.make.treats
make.treats.R,128,make.treats.object
map.traits.R,40,map.traits
map.traits.R,85,map.traits_fun
modifiers.R,70,modifiers
modifiers.R,83,branch.length
modifiers.R,100,speciation
modifiers.R,114,selection
modifiers.R,120,branch.length.fast
modifiers.R,127,speciation.fast
modifiers.R,133,selection.fast
modifiers.R,141,branch.length.trait
modifiers.R,158,speciation.trait
plot.lineage.R,10,internal.plot.lineage
plot.treats.R,86,plot.treats
plot.treats.R,240,get.root.time
plot.treats.R,260,get.root.time
plot.treats.R,561,plot.edge
plot.treats.R,574,plot.edge3d
plot.treats_fun.R,2,sim.motion
plot.treats_fun.R,37,internal.plot.simulation
plot.treats_fun.R,173,CI.converter
plot.treats_fun.R,177,get.quantile.col
plot.treats_fun.R,186,handle.colours
print.treats.R,26,print.treats
print.treats_fun.R,2,internal.print.traits.info
print.treats_fun.R,43,internal.print.modifiers.info
print.treats_fun.R,46,not.null.default
print.treats_fun.R,108,internal.print.events.info
print.treats_fun.R,119,internal.print.bd.params.info
sanitizing.R,3,check.class
sanitizing.R,63,check.length
sanitizing.R,79,check.method
sanitizing.R,86,stop.call
sanitizing.R,91,check.list
sanitizing.R,103,check.args
trait.process.R,112,trait.process
trait.process.R,124,BM.process
trait.process.R,129,discrete.process
trait.process.R,152,OU.process
trait.process.R,162,no.process
trait.process.R,167,peak.diff
trait.process.R,168,closest.peak
trait.process.R,170,multi.peak.process
trait.process.R,190,repulsion.process
treats.R,95,treats
utilities.R,35,parent.traits
utilities.R,89,transition.matrix
utilities.R,108,rates
zzz.R,2,.onAttach
